id,workId,workTitle_ko,workTitle_en,workTitle_ja,name_ko,name_en,name_ja,description_ko,description_en,description_ja,lat,lng,address_ko,address_en,address_ja,tags,openHours_ko,openHours_en,openHours_ja,isOpen,scene_ko,scene_en,scene_ja,image,transitRoute_ko,transitRoute_en,transitRoute_ja
"spot-001","itaewon-class","이태원 클라쓰","Itaewon Class","梨泰院クラス","단밤 포차 1호점 (카페 오리올)","DanBam Pub #1 (Oriole Cafe)","タンバムポチャ1号店（オリオール）","박새로이가 꿈을 품고 처음 차린 단밤 포차의 실제 촬영지. 해방촌 언덕 위에서 남산서울타워와 서울 시내 야경을 한눈에 감상할 수 있습니다.","The actual filming location of Saeroyi's first DanBam pub. Offers a breathtaking night view of Namsan Tower from Haebangchon hill.","パク・セロイが夢を담아 創業したタンバムポチャ1号店の実際の撮影地.",37.5458,126.9856,"서울특별시 용산구 신흥로20길 43","43 Sinheung-ro 20-gil, Yongsan-gu, Seoul","ソウル特別市龍山区新興路20キル43","restaurant,dramaSite,cafe","11:00 - 22:00","11:00 AM - 10:00 PM","11:00 - 22:00",true,"단밤 포차 1호점 - 새로이와 멤버들이 힘을 모아 시작하는 창업 공간","DanBam Pub #1 - Where Saeroyi and members start their dream business","タンバムポチャ1号店 - セロイとメンバーが夢を始める空間","assets/images/ㅇ.jpeg","6호선 녹사평역 2번 출구 -> 용산02 마을버스 승차 -> 신흥교회 앞 하차 -> 도보 2분","Line 6 Noksapyeong Stn Exit 2 -> Take Maeul Bus Yongsan02 -> Get off at Shinheung Church -> Walk 2 mins","6号線緑嗣坪駅2番出口 -> マウルバス龍山02乗車 -> 新興教会前下車 -> 徒歩2分"
"spot-002","itaewon-class","이태원 클라쓰","Itaewon Class","梨泰院クラス","녹사평 육교","Noksapyeong Overpass","ノクサピョン歩道橋","박새로이와 조이서가 깊은 고민을 나누던 대표적 상징 육교. 남산타워와 넓은 도로의 조명이 어우러지는 최고의 포토 스팟입니다.","The iconic overpass where Park Saeroyi and Jo Yiseo had deep talks. Famous photo spot with Namsan Tower view.","パク・セロイとチョ・イソが悩みを交わした象徴的な歩道橋.",37.534,126.986,"서울특별시 용산구 녹사평대로 195 (녹사평역 1번 출구)","195 Noksapyeong-daero, Yongsan-gu, Seoul","ソウル特別市龍山区ノクサピョン大路195","nightView,photospot,dramaSite","24시간","24 Hours","24時間",true,"새로이가 이태원에 오면 생각에 잠기는 남산 뷰 육교 장면","Iconic scene - Saeroyi thinking about his future on the overpass","セロイが梨泰院に来ると考えにふける南山ビューの歩道橋シーン","assets/images/ㅇ.jpeg","6호선 녹사평역 1번 출구 -> 도보 1분","Line 6 Noksapyeong Stn Exit 1 -> Walk 1 min","6号線緑嗣坪駅1番出口 -> 徒歩1分"
"spot-003","itaewon-class","이태원 클라쓰","Itaewon Class","梨泰院クラス","남산 백범광장공원 (성곽길 데이트 엔딩 장소)","Baekbeom Square Park (Namsan Castle Wall)","白凡広場公園（南山城郭路）","드라마 속에서 새로이와 조이서가 자주 걸으며 서로의 꿈과 깊은 고민을 나누던 남산 성곽길. 마지막 회 엔딩 로맨틱 입맞춤 장면 촬영지입니다.","The Namsan fortress wall park where Saeroyi and Yiseo walked together and filmed their final romantic kiss scene.","セロイとチョ・イソが夢を交わし、最後にお互いの愛を確認してキスを交わした南山城郭の公園です.",37.556,126.9774,"서울특별시 중구 퇴계로8길 49-4 (회현역 인근)","49-4 Toegye-ro 8-gil, Jung-gu, Seoul","ソウル特別市中区退渓路8キル49-4","park,nightView,photospot,dramaSite","24시간","24 Hours","24時間",true,"새로이와 이서가 남산 타워를 바라보며 손을 잡고 걷던 성곽길 및 엔딩 입맞춤 장면","Saeroyi and Yiseo walking along the wall under Namsan Tower and their final kiss","セロイとイソが南山タワーを見つめながら手を繋いで歩いた城郭とキスのシーン","assets/images/ㅇ.jpeg","4호선 회현역 4번 출구 -> 도보 8분","Line 4 Hoehyeon Stn Exit 4 -> Walk 8 mins","4号線会賢駅4番出口 -> 徒歩8分"
"spot-005","yumis-cells","유미의 세포들","Yumi's Cells","ユミの細胞たち","경주식당 (상수동 한옥 고깃집)","Gyeongju Sikdang (Sangsu Hanok Restaurant)","慶州食堂（上水洞韓屋焼肉）","마포구 상수동의 조용한 한옥을 개조해 만든 고기 요리 전문 한식당. 극 중에서 유미와 구웅이 갈등 상황에서 마음 불편하게 밥을 먹었던 레트로한 식당입니다.","A Korean hanok meat restaurant in Sangsu-dong where Yumi and Woong had their tense dining scene.","麻浦区上水洞の韓屋を改装したお肉料理専門店.",37.5478,126.9227,"서울특별시 마포구 와우산로13길 49-7","49-7 Wausan-ro 13-gil, Mapo-gu, Seoul","ソウル特別市麻浦区臥牛山路13キル49-7","restaurant,dramaSite","11:30 - 22:00","11:30 AM - 10:00 PM","11:30 - 22:00",true,"5화 - 두 사람 사이에 차가운 분위기가 감돌던 한식당 식사 장면","Ep 5 - The tense dinner scene between Yumi and Woong","第5話 - 二人の間に冷たい空気が流れた食事シーン","assets/images/ㅇㅁ.jpeg","6호선 상수역 1번 출구 -> 도보 4분","Line 6 Sangsu Stn Exit 1 -> Walk 4 mins","6号線上水駅1番出口 -> 徒歩4分"
"spot-006","yumis-cells","유미의 세포들","Yumi's Cells","ユミの細胞たち","카페 라디오엠 (Radio M - 첫 만남 데이트 카페)","Radio M Cafe (First Date Spot)","ラジオMカフェ（初対面デート）","서울 종로구 삼청동에 위치한 레트로 빈티지 라디오 테마 카페. 유미와 구웅이 첫 만남 소개팅 데이트를 진행했던 상징적인 카페 촬영지입니다.","A vintage radio-themed cafe in Samcheong-dong where Yumi and Woong had their iconic first blind date.","ソウル三清洞に位置するヴィンテージラジオテーマカフェ.",37.579,126.9818,"서울특별시 종로구 삼청로 2길 37","37 Samcheong-ro 2-gil, Jongno-gu, Seoul","ソウル特別市鐘路区三清路2キル37","cafe,romance,dramaSite","10:00 - 21:30","10:00 AM - 9:30 PM","10:00 - 21:30",true,"유미와 구웅이 처음 만나 쑥스럽게 대화를 이어가던 카페 테이블","Yumi and Woong's iconic first meeting blind date scene","ユミとウンが初めて出会い会話を交わしたカフェ","assets/images/ㅇㅁ.jpeg","3호선 안국역 1번 출구 -> 도보 6분","Line 3 Anguk Stn Exit 1 -> Walk 6 mins","3号線安国駅1番出口 -> 徒歩6分"
"spot-019","yumis-cells","유미의 세포들","Yumi's Cells","ユミの細胞たち","유미의 아파트 (부천 벚꽃마을)","Yumi's Apartment (Bucheon Cherry Blossom Village)","ユミのアパート（富川桜村）","유미의 집 아파트 실제 외관 촬영지. 부천시 상동 벚꽃마을 세종그랑시아 아파트 단지로, 밤마다 구웅이 바래다주던 예쁜 길입니다.","The actual filming location for Yumi's apartment exterior at Cherry Blossom Village in Bucheon.","ユミの家のアパートの実際の撮影地.",37.4947,126.7455,"경기도 부천시 원미구 상동 벚꽃마을","Cherry Blossom Village, Sang-dong, Bucheon-si, Gyeonggi-do","京畿道富川市上東 桜村","landmark,dramaSite,street","24시간","24 Hours","24時間",true,"구웅이 밤마다 유미를 아파트 앞까지 바래다주고 고백하던 장소","Where Woong walked Yumi home at night and confessed his feelings","ウンが夜にユミを送り届け、告白に成功した路地裏","assets/images/ㅇㅁ.jpeg","7호선 상동역 2번 출구 -> 5-2번 버스 승차 -> 벚꽃마을 하차 -> 도보 2분","Line 7 Sangdong Stn Exit 2 -> Bus 5-2 -> Walk 2 mins","7号線上東駅2番出口 -> 徒歩2分"
"spot-007","solo-leveling","나 혼자만 레벨업","Solo Leveling","俺だけレベルアップな件","합정역 3번 출구 (첫 인스턴스 던전 입구)","Hapjeong Station Exit 3 (First Dungeon Entrance)","合井駅3番出口（最初のダンジョン入口）","성진우가 이중 던전 생존 이후 시스템 퀘스트를 통해 첫 인스턴스 던전 열쇠를 사용하고 마수와 늑대들을 헌팅했던 상징적 장소.","The iconic Hapjeong Station exit where Sung Jin-woo unlocked his first instance dungeon and hunted beasts.","ソン・ジヌが二重ダンジョン生存後、最初のインスタンスダンジョンの鍵を使用して魔物を狩った場所.",37.5492,126.9135,"서울특별시 마포구 양화로 45 (합정역 3번 출구)","45 Yanghwa-ro, Mapo-gu, Seoul (Hapjeong Stn Exit 3)","ソウル特別市麻浦区楊花路45","landmark,action,fantasy","24시간","24 Hours","24時間",true,"진우가 지하철역 출입구로 들어가 첫 퀘스트 던전에 도전하던 장면","Jin-woo entering the subway dungeon for his first level-up quest","ジヌが地下鉄駅の入口から入り最初のクエストダンジョンに挑戦するシーン","assets/images/ㄴ.jpeg","2호선/6호선 합정역 3번 출구 바로 앞","Line 2/6 Hapjeong Stn Exit 3 (Right in front)","2号線/6号선合井駅3番出口直結"
"spot-008","solo-leveling","나 혼자만 레벨업","Solo Leveling","俺だけレベルアップな件","광화문 광장 (헌터 협회 및 세종대왕상 대전투 배경)","Gwanghwamun Square (Hunter Association Battle)","光化門広場（ハンター協会＆大戦闘背景）","웹툰 후반부 그림자 군단과 군주들의 최후 도심 대격전이 벌어지는 서울 중심부 랜드마크 광장.","The central square in Seoul where the shadow army fought the ultimate battle against monarchs.","ウェブトゥーン後半で影の軍団と君主たちの最終大戦闘が繰り広げられる光化門広場.",37.5759,126.9768,"서울특별시 종로구 세종대로 172","172 Sejong-daero, Jongno-gu, Seoul","ソウル特別市鐘路区世宗大路172","landmark,photospot,park","24시간","24 Hours","24時間",true,"진우가 세종대왕상 앞 광화문 하늘 위로 수만 그림자 군단을 소환하던 전투 배경","Jin-woo summoning thousands of shadow soldiers over Gwanghwamun","ジヌが世宗大王像の前で数万の影の軍団を召喚した戦闘シーン","assets/images/ㄴ.jpeg","5호선 광화문역 2번, 7번, 9번 출구 직결","Line 5 Gwanghwamun Stn Exit 2, 7, 9 Direct connection","5号線光化門駅2番・7番・9番出口直結"
"spot-020","solo-leveling","나 혼자만 레벨업","Solo Leveling","俺だけレベルアップな件","잠실 롯데월드타워 (S급 헌터 마천루 모티브)","Lotte World Tower (S-Class Hunter Skyscraper)","ロッテワールドタワー（S級ハンター摩天楼）","S급 헌터로 각성한 성진우가 서울 도심 한복판 마천루 위에서 마력을 방출하며 시내를 내려다보던 초고층 모티브 랜드마크.","The 123-story skyscraper motif where S-class Jin-woo looked down over Seoul with overwhelming power.","S級ハンターに覚醒したソン・ジヌがソウル市街を見下ろした超高層摩天楼モチーフ.",37.5126,127.1025,"서울특별시 송파구 올림픽로 300","300 Olympic-ro, Songpa-gu, Seoul","ソウル特別市松坡区オリンピック路300","landmark,nightView,photospot","10:30 - 22:00","10:30 AM - 10:00 PM","10:30 - 22:00",true,"진우가 강력한 힘을 깨닫고 초고층 빌딩 정상에서 서울 야경을 바라보던 장면","Jin-woo standing atop the skyscraper observing Seoul's skyline","ジヌが超高層ビルの頂上からソウルの夜景を見つめたシーン","assets/images/ㄴ.jpeg","2호선/8호선 잠실역 1번, 2번 출구 지하 연결통로 직결","Line 2/8 Jamsil Stn Exit 1, 2 Direct connection","2号線/8号線蚕室駅1番・2番出口直結"
"spot-009","true-beauty","여신강림","True Beauty","女神降臨","왕자 만화방 (와이앤아니마 - 수호와 주경의 아지트)","Prince Comic Shop (Y&Anima)","王子マンガ喫茶（Y&Anima）","임주경과 이수호가 민낯 비밀을 공유하며 운명적으로 재회하고 친해진 레트로 아지트 촬영지. 실제로는 삼청동 공방 와이앤아니마입니다.","The secret comic shop where Jugyeong and Suho fatefully met without makeup. Filmed at Y&Anima in Samcheong-dong.","イム・ジュギョンとイ・スホがすっぴんの秘密を共有し運命的に再会した秘密のアジト.",37.5794,126.9845,"서울특별시 종로구 윤보선길 31","31 Yunboseon-gil, Jongno-gu, Seoul","ソウル特別市鐘路区尹潽善路31","cafe,romance,dramaSite","12:00 - 20:00","12:00 PM - 8:00 PM","12:00 - 20:00",true,"민낯 주경이 수호와 호러 만화책을 사이에 두고 재회하던 만화방 장면","Jugyeong meeting Suho over horror comic books","すっぴんのジュギョンがスホとホラー漫画を挟んで再会したシーン","assets/images/ㅇㅅ.jpeg","3호선 안국역 1번 출구 -> 도보 3분","Line 3 Anguk Stn Exit 1 -> Walk 3 mins","3号線安国駅1番出口 -> 徒歩3分"
